product_name,brand,price,currency,breadcrumbs,pdp_url,variants,image_url,description
Justice Spiral Notebook,Atrium,10.50,USD,Home/All Products/Justice Spiral Notebook,https://www.shopjustice.com/collections/all-products/products/gwp-justice-notebook-732000-multi,"{""size"":[""ONE SIZE""],""color"":""MULTI""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/732000_multi_1_grande.jpg?v=1626812077,"For journaling, doodling, and setting goals, your girl will love this notebook. It comes free with a purchase of $75 or more!#732000Includes: one notebook and one pen$14 valueMan-madeImported"
Patterned Crop Sweatshirt,Adjmi,13.00,USD,Home/All Products/Patterned Crop Sweatshirt,https://www.shopjustice.com/collections/all-products/products/aop-fleece-crew-302323-paparazzi-purple-dye-effect,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Paparazzi Purple Dye Effect""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/302323_paparazzi-purple-dye-effect_1_grande.jpg?v=1625597456,"Cotton-blend fleece fabric gives our girls’ sweatshirts a cozy finish. Color blocking highlights the crew neckline, banded cuffs, and cropped hemline. An allover pattern offers standout style. And a graphic punctuates the front. She can style them easy-to-pair pieces from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#30232352% cotton and 48% polyesterMachine wash, tumble dryImported"
Patterned Crop Sweatshirt,Adjmi,13.00,USD,Home/All Products/Patterned Crop Sweatshirt,https://www.shopjustice.com/collections/all-products/products/aop-fleece-crew-302323-olive-camo,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Olive Camo""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/302323_olive-camo_1_grande.jpg?v=1625688417,"Cotton-blend fleece fabric gives our girls’ sweatshirts a cozy finish. Color blocking highlights the crew neckline, banded cuffs, and cropped hemline. An allover pattern offers standout style. And a graphic punctuates the front. She can style them easy-to-pair pieces from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#30232352% cotton and 48% polyesterMachine wash, tumble dryImported"
Patterned Joggers,Adjmi,13.00,USD,Home/All Products/Patterned Joggers,https://www.shopjustice.com/collections/all-products/products/aop-fleece-jogger-453351-angel-peach-camo,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Angel Peach Camo""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/453351_angel-peach-camo_1_grande.jpg?v=1625597502,"Cotton-blend fleece fabric gives our girls’ joggers a cozy finish. A sweet bow is stationed on the stretchy waistband. Color blocking highlights the banded cuffs. An allover pattern brings standout style. And a graphic punctuates the front of one of the legs. She can style them with other easy-to-pair styles from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#45335152% cotton and 48% polyesterMachine wash, tumble dryImported"
Patterned Crop Sweatshirt,Adjmi,13.00,USD,Home/All Products/Patterned Crop Sweatshirt,https://www.shopjustice.com/collections/all-products/products/aop-fleece-crew-302323-caribbean-sea-dye-effect,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Caribbean Sea Dye Effect""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/302323_caribbean-sea-dye-effect_1_grande.jpg?v=1628879007,"Cotton-blend fleece fabric gives our girls’ sweatshirts a cozy finish. Color blocking highlights the crew neckline, banded cuffs, and cropped hemline. An allover pattern offers standout style. And a graphic punctuates the front. She can style them easy-to-pair pieces from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#30232352% cotton and 48% polyesterMachine wash, tumble dryImported"
Patterned Crop Sweatshirt,Adjmi,13.00,USD,Home/All Products/Patterned Crop Sweatshirt,https://www.shopjustice.com/collections/all-products/products/aop-fleece-crew-302323-angel-peach-camo,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Angel Peach Camo""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/302323_angel-peach-camo_1_grande.jpg?v=1625597445,"Cotton-blend fleece fabric gives our girls’ sweatshirts a cozy finish. Color blocking highlights the crew neckline, banded cuffs, and cropped hemline. An allover pattern offers standout style. And a graphic punctuates the front. She can style them easy-to-pair pieces from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#30232352% cotton and 48% polyesterMachine wash, tumble dryImported"
Patterned Joggers,Adjmi,13.00,USD,Home/All Products/Patterned Joggers,https://www.shopjustice.com/collections/all-products/products/aop-fleece-jogger-453351-caribbean-sea-dye-effect,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Caribbean Sea Dye Effect""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/453351_caribbean-sea-dye-effect_1_grande.jpg?v=1628879163,"Cotton-blend fleece fabric gives our girls’ joggers a cozy finish. A sweet bow is stationed on the stretchy waistband. Color blocking highlights the banded cuffs. An allover pattern brings standout style. And a graphic punctuates the front of one of the legs. She can style them with other easy-to-pair styles from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#45335152% cotton and 48% polyesterMachine wash, tumble dryImported"
Patterned Crop Sweatshirt,Adjmi,13.00,USD,Home/All Products/Patterned Crop Sweatshirt,https://www.shopjustice.com/collections/all-products/products/aop-fleece-crew-302323-black-multi,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Black Multi""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/302323_black-multi_1_grande.jpg?v=1625597446,"Cotton-blend fleece fabric gives our girls’ sweatshirts a cozy finish. Color blocking highlights the crew neckline, banded cuffs, and cropped hemline. An allover pattern offers standout style. And a graphic punctuates the front. She can style them easy-to-pair pieces from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#30232352% cotton and 48% polyesterMachine wash, tumble dryImported"
Patterned Joggers,Shop Justice,13.00,USD,Home/All Products/Patterned Joggers,https://www.shopjustice.com/collections/all-products/products/aop-fleece-jogger-453351-olive-camo,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Olive Camo""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/453351_olive-camo_1_grande.jpg?v=1625690178,"Cotton-blend fleece fabric gives our girls’ joggers a cozy finish. A sweet bow is stationed on the stretchy waistband. Color blocking highlights the banded cuffs. An allover pattern brings standout style. And a graphic punctuates the front of one of the legs. She can style them with other easy-to-pair styles from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#45335152% cotton and 48% polyesterMachine wash, tumble dryImported"
Patterned Joggers,Adjmi,13.00,USD,Home/All Products/Patterned Joggers,https://www.shopjustice.com/collections/all-products/products/aop-fleece-jogger-453351-neutral-leopard,"{""size"":[""XS (5/6)"",""S (7/8)"",""M (10)"",""L (12/14)"",""XL (16/18)"",""XXL (16P/18P)""],""color"":""Neutral Leopard""}",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/453351_neutral-leopard_1_grande.jpg?v=1625597508,"Cotton-blend fleece fabric gives our girls’ joggers a cozy finish. A sweet bow is stationed on the stretchy waistband. Color blocking highlights the banded cuffs. An allover pattern brings standout style. And a graphic punctuates the front of one of the legs. She can style them with other easy-to-pair styles from our Everyday Faves collection—which offers tons of value and is perfect for a girl who’s just discovering her own, unique personal style.#45335152% cotton and 48% polyesterMachine wash, tumble dryImported"
